Paired evolution matrix comparison
Baseline: v34-direct-teaching (3 runs)
Candidate: v35d-grounded-conversation (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: version-mismatch; Formula versions differ; civilization-index deltas are observer-only and cannot demonstrate an engine improvement.
  interruptReturnsResumed: B med/mean 3/4.33; C 6/5; paired Δ med/mean +3/+0.67 (3 pairs)
  interruptReturnsParentCompleted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentBlocked: B med/mean 2/1.33; C 0/0; paired Δ med/mean -2/-1.33 (3 pairs)
  interruptReturnsParentUnavailable: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptUnresolvedTerminalChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenWithProjectId: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  orphanSuspendedProjectIntents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMeanMonths: B med/mean 5.8/4.6; C 0/0.11; paired Δ med/mean -5.47/-4.49 (3 pairs)
  interruptReturnLatencyMaxMonths: B med/mean 13/9.67; C 0/0.33; paired Δ med/mean -13/-9.33 (3 pairs)
  interruptResumedParentsWithSubsequentAction: B med/mean 3/2.67; C 6/5; paired Δ med/mean +3/+2.33 (3 pairs)
  interruptResumedParentsWithoutSubsequentAction: B med/mean 2/1.67; C 0/0; paired Δ med/mean -2/-1.67 (3 pairs)
  interruptImmediateSameProjectReplacements: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completedActions: B med/mean 727/724.67; C 690/806.67; paired Δ med/mean -37/+82 (3 pairs)
  actionPersonMonths: B med/mean 301/292.67; C 273/280.33; paired Δ med/mean -28/-12.33 (3 pairs)
  projectActionPersonMonths: B med/mean 60/57.33; C 62/67; paired Δ med/mean +9/+9.67 (3 pairs)
  projectActionMonthShare: B med/mean 21.9/19.65; C 23.13/23.73; paired Δ med/mean +4.76/+4.07 (3 pairs)
  ruleDecisions: B med/mean 378/379; C 428/439.67; paired Δ med/mean +50/+60.67 (3 pairs)
  modelDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  outputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  strategicShare: B med/mean 76.1/76.63; C 77.57/74.63; paired Δ med/mean -0.12/-2 (3 pairs)
  strategicIntents: B med/mean 284/290; C 326/326.67; paired Δ med/mean +48/+36.67 (3 pairs)
  socialIntents: B med/mean 94/89; C 96/113; paired Δ med/mean +18/+24 (3 pairs)
  communications: B med/mean 88/84.67; C 84/91; paired Δ med/mean +14/+6.33 (3 pairs)
  survivalReflexActions: B med/mean 347/413; C 357/423.33; paired Δ med/mean +28/+10.33 (3 pairs)
  projectsStarted: B med/mean 24/25; C 28/27; paired Δ med/mean +3/+2 (3 pairs)
  projectsCompleted: B med/mean 9/11.33; C 8/9; paired Δ med/mean -1/-2.33 (3 pairs)
  projectsBlocked: B med/mean 14/12.67; C 19/17.67; paired Δ med/mean +5/+5 (3 pairs)
  projectPressureBasisProjects: B med/mean 24/25; C 28/27; paired Δ med/mean +3/+2 (3 pairs)
  projectPressureBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectPressureHistoryEntries: B med/mean 107/92.33; C 120/112; paired Δ med/mean +14/+19.67 (3 pairs)
  projectsWithPressureUpdates: B med/mean 21/19; C 24/22; paired Δ med/mean +3/+3 (3 pairs)
  projectPressureUpdates: B med/mean 74/67.33; C 88/85; paired Δ med/mean +14/+17.67 (3 pairs)
  projectPressureIncreases: B med/mean 8/8.67; C 17/15; paired Δ med/mean +6/+6.33 (3 pairs)
  projectPressureDecreases: B med/mean 18/18.33; C 26/24; paired Δ med/mean +7/+5.67 (3 pairs)
  projectPressureUnchangedUpdates: B med/mean 40/40.33; C 38/46; paired Δ med/mean +5/+5.67 (3 pairs)
  projectPressureDuplicateBasisEntries: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureCrossOwnerSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureNonThreatAnimalSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureChangesWithoutEdgeChange: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureObserverMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesThermalSafety: B med/mean 0/3; C 1/3.33; paired Δ med/mean 0/+0.33 (3 pairs)
  projectPressureUpdatesHuntingSafety: B med/mean 2/1.67; C 3/4.33; paired Δ med/mean +2/+2.67 (3 pairs)
  projectPressureUpdatesCareCapability: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesFoodPreparation: B med/mean 27/23.33; C 38/33; paired Δ med/mean +10/+9.67 (3 pairs)
  projectPressureUpdatesShelterCapacity: B med/mean 39/39.33; C 16/15.67; paired Δ med/mean -23/-23.67 (3 pairs)
  projectPressureUpdatesKnowledgePreservation: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  projectProgressEvidenceCount: B med/mean 411/393.67; C 486/577.33; paired Δ med/mean +261/+183.67 (3 pairs)
  projectProgressProjects: B med/mean 23/23.67; C 27/24; paired Δ med/mean 0/+0.33 (3 pairs)
  projectLogisticsAdvanceProgress: B med/mean 281/286; C 357/347; paired Δ med/mean +76/+61 (3 pairs)
  projectMaterialContributionProgress: B med/mean 99/107.67; C 121/230.33; paired Δ med/mean +22/+122.67 (3 pairs)
  projectProgressDuplicateEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressUnresolvedEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEpisodeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressIntentMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressNonAdvancingLogistics: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEventsAfterTermination: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectStagnationBlocksWithRecentProgress: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectTerminalMonthCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectsBlockedAfterLogisticsProgress: B med/mean 11/10.33; C 15/13.33; paired Δ med/mean +4/+3 (3 pairs)
  projectSearchCampaigns: B med/mean 4/3.33; C 5/4.67; paired Δ med/mean 0/+1.33 (3 pairs)
  projectsWithSearchCampaigns: B med/mean 4/3; C 4/4; paired Δ med/mean 0/+1 (3 pairs)
  searchCampaignActive: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignExhausted: B med/mean 0/0.33; C 1/0.67; paired Δ med/mean +1/+0.33 (3 pairs)
  searchCampaignSuperseded: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignClosed: B med/mean 3/2.67; C 4/3.67; paired Δ med/mean +1/+1 (3 pairs)
  searchCampaignAttemptedTargets: B med/mean 7/17.33; C 18/20; paired Δ med/mean +10/+2.67 (3 pairs)
  searchCampaignMaxTargets: B med/mean 7/14.67; C 13/16; paired Δ med/mean +3/+1.33 (3 pairs)
  searchCampaignEpisodeCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  searchEpisodesMissingCampaign: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignRepeatedTargets: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignDuplicateBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignTargetOutsideArea: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignEpisodeTargetNotAttempted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignOwnerMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectLogisticsEpisodes: B med/mean 81/83.33; C 99/98.33; paired Δ med/mean +23/+15 (3 pairs)
  projectLogisticsFulfilled: B med/mean 75/77.33; C 94/95; paired Δ med/mean +25/+17.67 (3 pairs)
  projectLogisticsExhausted: B med/mean 3/3.33; C 2/2.33; paired Δ med/mean -1/-1 (3 pairs)
  projectSearchEpisodes: B med/mean 7/17.33; C 18/20; paired Δ med/mean +10/+2.67 (3 pairs)
  projectDropEpisodes: B med/mean 55/58; C 73/72.67; paired Δ med/mean +13/+14.67 (3 pairs)
  projectLogisticsActionEvents: B med/mean 349/345.67; C 439/421; paired Δ med/mean +90/+75.33 (3 pairs)
  jointProjectsCompleted: B med/mean 1/1; C 1/1.67; paired Δ med/mean +1/+0.67 (3 pairs)
  productionProjectsCompleted: B med/mean 3/3.33; C 3/3; paired Δ med/mean 0/-0.33 (3 pairs)
  constructionProjectsCompleted: B med/mean 7/8; C 5/6; paired Δ med/mean -2/-2 (3 pairs)
  totalStructures: B med/mean 15/15.33; C 11/11.67; paired Δ med/mean -4/-3.67 (3 pairs)
  completedStructures: B med/mean 5/5.33; C 3/3.67; paired Δ med/mean -2/-1.67 (3 pairs)
  constructionPlacements: B med/mean 21/21.33; C 14/15.33; paired Δ med/mean -7/-6 (3 pairs)
  containersBuilt: B med/mean 3/3; C 0/0; paired Δ med/mean -3/-3 (3 pairs)
  standingContainers: B med/mean 3/3; C 0/0; paired Δ med/mean -3/-3 (3 pairs)
  containerTransfers: B med/mean 1/14.33; C 0/0; paired Δ med/mean -1/-14.33 (3 pairs)
  storedUnits: B med/mean 1/6; C 0/0; paired Δ med/mean -1/-6 (3 pairs)
  movementActions: B med/mean 1199/1272; C 1355/1338.33; paired Δ med/mean +154/+66.33 (3 pairs)
  movementActionShare: B med/mean 65.99/66.08; C 64/64.39; paired Δ med/mean -2.79/-1.69 (3 pairs)
  spearsCrafted: B med/mean 7/6.67; C 8/6.67; paired Δ med/mean +2/0 (3 pairs)
  leatherClothingCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  herbalMedicineCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  cookedFoodProduced: B med/mean 2/2; C 1/1.33; paired Δ med/mean 0/-0.67 (3 pairs)
  recordsCreated: B med/mean 1/0.67; C 0/0.33; paired Δ med/mean 0/-0.33 (3 pairs)
  functionalInstitutions: B med/mean 0/0; C 1/1; paired Δ med/mean +1/+1 (3 pairs)
  animalsHunted: B med/mean 3/3.33; C 4/4.33; paired Δ med/mean +1/+1 (3 pairs)
  animalAttacks: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  wildlifePopulation: B med/mean 0/1; C 0/1; paired Δ med/mean 0/0 (3 pairs)
  predictionAccuracy: B med/mean 42.86/43.28; C 33.33/36.8; paired Δ med/mean -9.53/-6.47 (3 pairs)
  dehydrationHibernations: B med/mean 27/25; C 23/23.33; paired Δ med/mean -4/-1.67 (3 pairs)
  assistedDependentHibernations: B med/mean 6/5; C 3/3; paired Δ med/mean -3/-2 (3 pairs)
  throughMonth: B med/mean 120/120; C 120/120; paired Δ med/mean 0/0 (3 pairs)
  initialPopulation: B med/mean 7/6.67; C 7/6.67; paired Δ med/mean 0/0 (3 pairs)
  completeRecordUseChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectCompletionChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectProgressChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  correctPredictions: B med/mean 5/6.67; C 6/5; paired Δ med/mean -1/-1.67 (3 pairs)
  dropDemandActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandBalanceMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandNonPositiveOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedExceedsOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedQuantity: B med/mean 55/58; C 73/72.67; paired Δ med/mean +13/+14.67 (3 pairs)
  dropDemandStartingAtOrAboveRequired: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandStartingQuantityMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferExceedsRequested: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferQuantity: B med/mean 49/53; C 69/69; paired Δ med/mean +14/+16 (3 pairs)
  dropDemandUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropEpisodesWithMaterialDemand: B med/mean 55/58; C 73/72.67; paired Δ med/mean +13/+14.67 (3 pairs)
  generationGtZeroCausalReliableLearners: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffOutcomeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffPairMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffSignatureMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffsWithEntityRoleBasis: B med/mean 37/41.33; C 75/72.33; paired Δ med/mean +36/+31 (3 pairs)
  hypothesisActionMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptOrdinalMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttempts: B med/mean 37/41.33; C 75/72.33; paired Δ med/mean +36/+31 (3 pairs)
  hypothesisAttemptsMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsWithEntityRoleBasis: B med/mean 37/41.33; C 75/72.33; paired Δ med/mean +36/+31 (3 pairs)
  hypothesisAttemptsWithRoleBasis: B med/mean 37/41.33; C 75/72.33; paired Δ med/mean +36/+31 (3 pairs)
  hypothesisBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaignMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaigns: B med/mean 11/13.67; C 20/20.33; paired Δ med/mean +7/+6.67 (3 pairs)
  hypothesisCandidateAttemptRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidates: B med/mean 176/197.33; C 351/342; paired Δ med/mean +148/+144.67 (3 pairs)
  hypothesisCandidatesMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesWithEntityRoleBasis: B med/mean 176/197.33; C 351/342; paired Δ med/mean +148/+144.67 (3 pairs)
  hypothesisCandidatesWithRoleBasis: B med/mean 176/197.33; C 351/342; paired Δ med/mean +148/+144.67 (3 pairs)
  hypothesisCombineAttempts: B med/mean 27/31; C 56/55.33; paired Δ med/mean +29/+24.33 (3 pairs)
  hypothesisCombineNoResponses: B med/mean 24/27.33; C 49/48.67; paired Δ med/mean +24/+21.33 (3 pairs)
  hypothesisCombineResponses: B med/mean 3/3.67; C 7/6.67; paired Δ med/mean +4/+3 (3 pairs)
  hypothesisConnectFlexibleLayersAttempts: B med/mean 0/0.33; C 1/1.33; paired Δ med/mean 0/+1 (3 pairs)
  hypothesisConnectFlexibleLayersCandidates: B med/mean 0/1; C 3/2; paired Δ med/mean 0/+1 (3 pairs)
  hypothesisConnectFlexibleLayersNoResponses: B med/mean 0/0.33; C 1/1.33; paired Δ med/mean 0/+1 (3 pairs)
  hypothesisConnectFlexibleLayersResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectManipulatorShapesAttempts: B med/mean 26/30.67; C 55/54; paired Δ med/mean +26/+23.33 (3 pairs)
  hypothesisConnectManipulatorShapesCandidates: B med/mean 85/98.67; C 192/199.33; paired Δ med/mean +103/+100.67 (3 pairs)
  hypothesisConnectManipulatorShapesNoResponses: B med/mean 23/27; C 48/47.33; paired Δ med/mean +21/+20.33 (3 pairs)
  hypothesisConnectManipulatorShapesResponses: B med/mean 3/3.67; C 7/6.67; paired Δ med/mean +4/+3 (3 pairs)
  hypothesisDuplicateProjectPairs: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisDuplicateProjectSignatures: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExactEntityVerifiedResponseInputAttempts: B med/mean 0/0.67; C 1/0.67; paired Δ med/mean +1/0 (3 pairs)
  hypothesisExactEntityVerifiedResponseToolAttempts: B med/mean 3/3.33; C 5/6.33; paired Δ med/mean +4/+3 (3 pairs)
  hypothesisExertAttempts: B med/mean 9/8.33; C 14/12.33; paired Δ med/mean +5/+4 (3 pairs)
  hypothesisExertNoResponses: B med/mean 6/6; C 12/10.67; paired Δ med/mean +5/+4.67 (3 pairs)
  hypothesisExertResponses: B med/mean 2/2.33; C 2/1.67; paired Δ med/mean -1/-0.67 (3 pairs)
  hypothesisExertVerifiedResponseInputAttempts: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertVerifiedResponseToolAttempts: B med/mean 3/2; C 2/2.67; paired Δ med/mean +2/+0.67 (3 pairs)
  hypothesisExhaustedCampaigns: B med/mean 6/7; C 15/13.67; paired Δ med/mean +6/+6.67 (3 pairs)
  hypothesisExposeAttempts: B med/mean 2/2; C 5/4.67; paired Δ med/mean +4/+2.67 (3 pairs)
  hypothesisExposeNoResponses: B med/mean 0/0; C 4/3.33; paired Δ med/mean +4/+3.33 (3 pairs)
  hypothesisExposeResponses: B med/mean 2/2; C 1/1.33; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisFirstAttemptNoResponses: B med/mean 10/9.33; C 16/17; paired Δ med/mean +8/+7.67 (3 pairs)
  hypothesisFirstAttemptResponses: B med/mean 3/3.67; C 3/2.67; paired Δ med/mean 0/-1 (3 pairs)
  hypothesisMaterialOnlyVerifiedResponseAttributionViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisMissingSourceKeys: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNonFiniteRoleScores: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponses: B med/mean 31/33.33; C 65/62.67; paired Δ med/mean +32/+29.33 (3 pairs)
  hypothesisOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisQuestionOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableKnowledgeViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableNoResponseExcessAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseDrivenTransitions: B med/mean 4/5.33; C 7/8; paired Δ med/mean +4/+2.67 (3 pairs)
  hypothesisResponses: B med/mean 6/8; C 10/9.67; paired Δ med/mean +4/+1.67 (3 pairs)
  hypothesisSeekLocalHeatAttempts: B med/mean 7/7; C 12/11.33; paired Δ med/mean +6/+4.33 (3 pairs)
  hypothesisSeekLocalHeatCandidates: B med/mean 76/74.33; C 119/113.33; paired Δ med/mean +59/+39 (3 pairs)
  hypothesisSeekLocalHeatNoResponses: B med/mean 5/5.33; C 11/10; paired Δ med/mean +6/+4.67 (3 pairs)
  hypothesisSeekLocalHeatResponses: B med/mean 2/1.67; C 1/1.33; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisShapePortableSurfaceAttempts: B med/mean 1/1.33; C 1/1; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisShapePortableSurfaceCandidates: B med/mean 11/8.33; C 12/8; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisShapePortableSurfaceNoResponses: B med/mean 0/0.67; C 1/0.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisShapePortableSurfaceResponses: B med/mean 1/0.67; C 0/0.33; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisTotalBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatAttempts: B med/mean 2/2; C 5/4.67; paired Δ med/mean +4/+2.67 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatCandidates: B med/mean 12/15; C 25/19.33; paired Δ med/mean +16/+4.33 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatNoResponses: B med/mean 0/0; C 4/3.33; paired Δ med/mean +4/+3.33 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatResponses: B med/mean 2/2; C 1/1.33; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisUniquePairs: B med/mean 30/29.67; C 50/50; paired Δ med/mean +22/+20.33 (3 pairs)
  hypothesisUniqueSignatures: B med/mean 30/29.67; C 50/50; paired Δ med/mean +22/+20.33 (3 pairs)
  hypothesisUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
